Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
IC2,TXU0304PWR,TSSOP-14_4.4x5mm_P0.65mm,215.392,-224.952,180.0,top
IC3,LM3940IMP-3.3_NOPB,SOT-223,244.118,-211.855,180.0,top
J1,0022232041,PinSocket_1x04_P2.54mm_Horizontal,247.928,-241.065,0.0,top
J5,SLW-104-01-G-S,SAMTEC_SLW-104-01-G-S,243.3125,-221.0,180.0,top
J6,SLW-104-01-G-S,SAMTEC_SLW-104-01-G-S,403.3325,-221.0,180.0,top
J7,SLW-104-01-G-S,SAMTEC_SLW-104-01-G-S,243.3125,-229.0,180.0,top
J8,SLW-104-01-G-S,SAMTEC_SLW-104-01-G-S,403.3325,-229.0,180.0,top
J9,SAMTEC-SLW-108-01-X-S,SAMTEC-SLW-108-01-X-S,236.45149,-192.956,-90.0,top
J10,SAMTEC-SLW-108-01-X-S,SAMTEC-SLW-108-01-X-S,213.59149,-192.956,-90.0,top
J11,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",260.305,-209.455,90.0,bottom
R1,100,R_0402_1005Metric,309.074,-232.62,90.0,bottom
R2,10K,R_0402_1005Metric,307.221998,-232.634998,270.0,bottom
R3,10k,R_0402_1005Metric,237.573,-253.64545,90.0,top
SW1,SW_Boot,SW_SPST_B3U-1000P,205.95,-254.845,0.0,top
SW2,SW_Reset,SW_SPST_B3U-1000P,242.78,-254.845,180.0,top
U1,SN74LV1T34DBV,SOT-23-5,233.382,-230.842,90.0,top
U2,SN74LV1T34DBV,SOT-23-5,227.54,-230.842,90.0,top
U34,ESP32-S3-WROOM-1-n16r8,ESP32-S3-WROOM-1-N16R2,224.313,-251.61,180.0,top
U35,QRE1113GR,OnSemi_CASE100CY,308.058,-225.0,0.0,bottom
